grant_number,fqhc_name,state,type,operator_type,site_count,contact_count,exec_count,bh_titled_count,on_natcon,on_nachc,score,reasons
H80CS00408,"GULF COAST HEALTH CENTER, INC",TX,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",10,6,6,3,True,False,11,TX core; 10 sites sweet; real FQHC; 501c3; 6 contacts; 6 exec; 3 BH titles
H80CS26514,"TRIAD ADULT & PEDIATRIC MEDICINE, INC.",NC,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",6,2,1,1,True,False,10,NC core; 6 sites sweet; real FQHC; 501c3; 2 contacts; 1 exec; 1 BH titles
H80CS00539,COMMUNITY HEALTH ALLIANCE,NV,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",10,6,6,0,True,True,9,NV adj; 10 sites sweet; real FQHC; 501c3; 6 contacts; 6 exec
H80CS00352,HORIZON HEALTH SERVICES INC,VA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",6,9,9,0,True,False,9,VA adj; 6 sites sweet; real FQHC; 501c3; 9 contacts; 9 exec
H80CS00398,DETROIT COMMUNITY HEALTH CONNECTION,MI,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",7,3,3,0,False,True,8,MI other; 7 sites sweet; real FQHC; 501c3; 3 contacts; 3 exec
H80CS08226,EASTERN IOWA HEALTH CENTER,IA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",6,4,2,0,False,True,8,IA other; 6 sites sweet; real FQHC; 501c3; 4 contacts; 2 exec
H80CS00485,"FAMILY HEALTH CENTERS OF GEORGIA, INC., THE",GA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",14,4,3,0,False,True,8,GA adj; 14 sites ok; real FQHC; 501c3; 4 contacts; 3 exec
H80CS00382,MOROVIS COMMUNITY HEALTH CENTER INC,PR,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",7,4,1,0,False,True,8,PR other; 7 sites sweet; real FQHC; 501c3; 4 contacts; 1 exec
H80CS00244,RAPIDES PRIMARY HEALTH CARE CENTER INCORPORATED,LA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",5,2,2,0,False,True,8,LA adj; 5 sites sweet; real FQHC; 501c3; 2 contacts; 2 exec
H80CS08737,"ROANOKE CHOWAN COMMUNITY HEALTH CENTERS, INC.",NC,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",10,1,1,0,False,True,8,NC core; 10 sites sweet; real FQHC; 501c3; 1 exec
H80CS06663,WESTERN WAYNE FAMILY HEALTH CENTERS,MI,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",6,3,2,0,False,True,8,MI other; 6 sites sweet; real FQHC; 501c3; 3 contacts; 2 exec
H80CS29048,"BEHAVIORAL HEALTH SERVICES, INC.",CA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",9,4,3,0,True,False,8,CA other; 9 sites sweet; real FQHC; 501c3; 4 contacts; 3 exec
H80CS28371,SOUTHLAND INTEGRATED SERVICES INC,CA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",2,3,1,0,True,False,8,CA other; 2 sites sweet; real FQHC; 501c3; 3 contacts; 1 exec
H80CS25709,GENESEE HEALTH SYSTEM,MI,Federally Qualified Health Center (FQHC),U.S. Government Entity,5,3,2,1,True,False,8,MI other; 5 sites sweet; real FQHC; 3 contacts; 2 exec; 1 BH titles
H80CS28348,APPALACHIAN MOUNTAIN COMMUNITY HEALTH CENTERS,NC,Federally Qualified Health Center (FQHC),"Corporate Entity, Not Federal Tax Exempt",12,1,1,0,False,True,7,NC core; 12 sites ok; real FQHC; 501c3; 1 exec
