grant_number,hc_name,hc_type,hq_city,hq_state,hq_zip,operator_type,site_count,active_sites,county_count
H80CS00046,COUNTY OF SANTA BARBARA,Federally Qualified Health Center (FQHC),Santa Barbara,CA,93110,U.S. Government Entity,19,19,1
H80CS00587,"PETALUMA HEALTH CENTER, INC.",Federally Qualified Health Center (FQHC),Petaluma,CA,94954-6559,"Corporate Entity, Federal Tax Exempt",20,20,2
H80CS00807,"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",Federally Qualified Health Center (FQHC),Waianae,HI,96792-3199,"Corporate Entity, Federal Tax Exempt",25,25,1
H80CS00055,WHITE BIRD CLINIC,Federally Qualified Health Center (FQHC),Eugene,OR,97401-3212,"Corporate Entity, Federal Tax Exempt",9,9,1
H80CS00563,"E. A. HAWSE HEALTH CENTER, INC.",Federally Qualified Health Center (FQHC),Baker,WV,26801-8626,"Corporate Entity, Federal Tax Exempt",24,24,3
H80CS10748,"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO, INC.",Federally Qualified Health Center (FQHC),San Ysidro,CA,92173-1345,"Corporate Entity, Federal Tax Exempt",52,52,1
H80CS00811,LAKE SUPERIOR COMMUNITY HEALTH CENTER,Federally Qualified Health Center (FQHC),Duluth,MN,55807-2730,"Corporate Entity, Federal Tax Exempt",15,15,3
H80CS28356,"MARILLAC CLINIC, INC.",Federally Qualified Health Center (FQHC),Grand Junction,CO,81504-5383,"Corporate Entity, Federal Tax Exempt",7,7,2
H80CS00626,"BRONX COMMUNITY HEALTH NETWORK, INC.",Federally Qualified Health Center (FQHC),Bronx,NY,10458-5871,"Corporate Entity, Federal Tax Exempt",20,20,1
H80CS26606,"HORIZON HEALTH AND WELLNESS, INC.",Federally Qualified Health Center (FQHC),Apache Junction,AZ,85120,"Corporate Entity, Federal Tax Exempt",10,10,4
H80CS08737,"ROANOKE CHOWAN COMMUNITY HEALTH CENTERS, INC.",Federally Qualified Health Center (FQHC),Ahoskie,NC,27910-8161,"Corporate Entity, Federal Tax Exempt",10,10,4
H80CS08784,"LAKES COMMUNITY HEALTH CENTER, INC THE",Federally Qualified Health Center (FQHC),Iron River,WI,54847-4690,"Corporate Entity, Federal Tax Exempt",78,78,16
H80CS06460,Shackelford County Community Resource Center,Federally Qualified Health Center (FQHC),Albany,TX,76430-3225,"Corporate Entity, Federal Tax Exempt",7,7,4
H80CS06642,WESTERN MARYLAND HEALTH CARE CORPORATION,Federally Qualified Health Center (FQHC),Oakland,MD,21550-4343,"Corporate Entity, Federal Tax Exempt",6,6,3
H80CS00081,"RURAL HEALTH CARE, INCORPORATED",Federally Qualified Health Center (FQHC),Palatka,FL,32177-8636,"Corporate Entity, Federal Tax Exempt",15,15,6
H80CS00726,Christopher Greater Area Rural Health Planning Corporation,Federally Qualified Health Center (FQHC),Christopher,IL,62822-1037,"Corporate Entity, Federal Tax Exempt",16,16,10
H80CS00866,"RURAL HEALTH GROUP, INC",Federally Qualified Health Center (FQHC),Roanoke Rapids,NC,27870-5032,"Corporate Entity, Federal Tax Exempt",22,22,6
H80CS24111,CIRCLE HEALTH SERVICES,Federally Qualified Health Center (FQHC),Cleveland,OH,44106-4399,"Corporate Entity, Federal Tax Exempt",15,15,1
H80CS00675,"Community Health Service Agency, Inc. of Hunt County, The",Federally Qualified Health Center (FQHC),Greenville,TX,75401-5644,"Corporate Entity, Federal Tax Exempt",10,10,5
H80CS28992,SAC HEALTH SYSTEM,Federally Qualified Health Center (FQHC),San Bernardino,CA,92408-0218,"Corporate Entity, Federal Tax Exempt",25,25,2
H80CS00309,CHEROKEE HEALTH SYSTEMS,Federally Qualified Health Center (FQHC),Knoxville,TN,37921-5718,"Corporate Entity, Federal Tax Exempt",42,42,13
LALCS40209,FAITH HEALTHCARE INC,Federally Qualified Health Center (FQHC) Look-Alike,MONTICELLO,KY,42633,NA,9,9,5
H80CS00672,"Barrio Comprehensive Family Health Care Center, Inc.",Federally Qualified Health Center (FQHC),San Antonio,TX,78220-1013,"Corporate Entity, Federal Tax Exempt",33,33,3
H80CS00619,BIG SANDY HEALTH CARE,Federally Qualified Health Center (FQHC),Prestonsburg,KY,41653-9097,"Corporate Entity, Federal Tax Exempt",22,22,6
H80CS00862,EAST CENTRAL DISTRICT HEALTH DEPARTMENT,Federally Qualified Health Center (FQHC),Columbus,NE,68601-2131,U.S. Government Entity,4,4,3
H80CS04205,LEWIS COUNTY COMMUNITY HEALTH SERVICES,Federally Qualified Health Center (FQHC),Chehalis,WA,98532-2412,"Corporate Entity, Federal Tax Exempt",18,18,3
H80CS12857,WINN COMMUNITY HEALTH CENTER INC,Federally Qualified Health Center (FQHC),Winnfield,LA,71483-3463,"Corporate Entity, Federal Tax Exempt",62,62,7
H80CS08220,DENA NENA HENASH,Federally Qualified Health Center (FQHC),Fairbanks,AK,99701-4871,"Corporate Entity, Federal Tax Exempt",25,25,4
H80CS00473,GLENN'S FERRY HEALTH CENTER INC,Federally Qualified Health Center (FQHC),Mountain Home,ID,83647-1038,"Corporate Entity, Federal Tax Exempt",7,7,2
H80CS02448,SEBASTICOOK FAMILY DOCTORS,Federally Qualified Health Center (FQHC),Newport,ME,04953-4055,"Corporate Entity, Federal Tax Exempt",5,5,2
H80CS00766,COMMUNITY HEALTH CENTER OF LUBBOCK,Federally Qualified Health Center (FQHC),Lubbock,TX,79401-2622,"Corporate Entity, Federal Tax Exempt",12,12,1
H80CS00597,"COMMUNITY HEALTHCARE NETWORK, INC.",Federally Qualified Health Center (FQHC),New York,NY,10001-4212,"Corporate Entity, Federal Tax Exempt",21,21,4
